traditional_name;latin_name;INCI_name;danger_factor;naturalness;usage;safety
КОСГАРД;COSGARD;BENZYL ALCOHOL, DEHYDROACETIC ACID, AQUA;Низкий;Синтетический;Растворимость: растворим в спирте, до 1% растворим в воде.Сочетается со всеми эмульгаторами и загустителями, эффективен при рН менее 7 в кисловатой среде, немного подкисляет готовый продуктСрок годности готового косметического средства с использованием этого консерванта более одного месяца.Используется для консервации шампуней, гелей, лосьонов и кремов.;Возможна индивидуальная непереносимость , перед применением необходим  аллерготест.
МЕДЬ КОЛЛОИДНАЯ;CUPRUM;COLLOIDAL COPPER;Низкий;Натуральный;;Коллоидный раствор меди это очищенная вода и наночастички металла. Медь образует на коже невидимую матрицу, которая предотвращает потерю влаги, стимулирует клетки вырабатывать больше коллагена и эластина, восстанавливает нормальную работу капилляров, повышает эластичность кожи и замедляет процесс старения. Кроме того, медь будет полезна волосам - она питает корни, уменьшает выпадение, делает волосы более толстыми, а значит, они меньше подвержены ломкости и появлению секущихся кончиков.
EASYLIANCE ® (ИЗИЛЯНС);ACACIA SENEGAL GUM, HYDROLYZED RHIZOBIAN GUM;ACACIA SENEGAL GUM, HYDROLYZED RHIZOBIAN GUM;Низкий;Натуральный;;ОписаниеХорошо растворим в воде образует лёгкий гель.Натуральный растительный биополимер вырабатывается по запатентованной технологии.Образует на поверхности кожи эластичную плёнку которая подтягивает мимические морщинки.
МЫЛЬНАЯ ОСНОВА CRYSTAL OV;SOAP BASE OV;SOAP BASE OV;Низкий;Синтетический;;Прозрачная основа растительного происхождения для производства глицеринового мыла. 20% от общего количества масел, использованных при производстве этой основы - оливковое маслоСостав: Вода 25-50%Глицерин 10-25%Стеарат натрия 10-25%Пропиленгликоль 10-25%Сорбитол 10-25%Лаурет сульфат натрия 5 - 10%Лаурат натрия 5-10%Оливат натрия 5-10%Лаурил сульфат натрия 1-5%Хлорид натрия 0,5%-1,0%Стеариновая кислота 0,1%-0,5%Лауриновая кислота 0,1%-0,5%Пентанатрия пентенат < 0,1%Тетранатрия этидронат < 0,1%
МЫЛЬНАЯ ОСНОВА CRYSTAL SLS FREE;SOAP BASE CRYSTAL SLS FREE;SOAP BASE SLS FREE;Низкий;Синтетический;;Прозрачная основа растительного происхождения для производства мыла. Crystal SLS Free - мыльная основа, которая не содержит Лаурил сульфат натрияСостав: Вода 25% - 50%Глицерин 10% - 25%Натрий Стеарат 10% - 25%Пропилен гликоль 10% - 25%Сорбитол 5% - 10%Лаурет натрия 5% - 10%Лаурет сульфат натрия 5% - 10%Динатрия лаурет сульфосукцинат 1% - 5%Хлорид натрия 0,5% - 1%Стеариновая кислота 0,5% - 1%Лауриновая кислота 0,1% - 0,5%Пентанатрия пентенат <0,1%Тетранатрия этидронат <0,1%
МЫЛЬНАЯ ОСНОВА, CRYSTAL NCO;SOAP BASE CRYSTAL NCO;SOAP BASE CRYSTAL NCO;Низкий;Натуральный;;Застывает дольше обычной основы, довольно мягкая и хуже держит форму. Можно добавлять стеариновую кислоту для большей твердости. Она более мутная, чем прозрачная основа, но при последующем нагревании становится прозрачной. Слабо пахнет хозяйственным мыломСостав: Глицерин 25% - 50%Вода 25% - 50%Пальмат натрия 10% - 25%Сорбитол5% - 10%Кокоат натрия 5% - 10%Децил гликозид 1%-5%Хлорид натрия 1% - 5%Кокосовая кислота 0,1% - 0,5%Пентанатрия пентенат < 0,1%Тетранатрия этидронат < 0,1%
ARGILERINE™;ARGILERINE;ARGILERINE™;Низкий;Синтетический;;Является уникальным гексапептидом и неинъектиционной альтернативой ботулотоксина\; безопасен\; вводится в водную фазу крема ниже 40 градусов\; средство с ним использовать на тех участках, которые поражены возрастными изменениями\; PH- от 3 до 6\; хранится до 2 лет.Цвет: -Запах: -Косметическое действиеARGILERINE способствует сокращению морщин, легко проникая в глубокие слои кожи и способствуя расслаблению мышц. Кроме того, активно противостоит появлению новых морщин.Состав по INCI: Water, acetyl hexa-peptide-3. Water, acetyl hexa-peptide-3acetyl hexa-peptide-8
БИОЗОЛ ®;BIOSOL;O-CYMEN-5-OL;Низкий;Синтетический;;Является изомером тимола\; растворяется в спирте, эфирных маслах (не все)\; стабилен\; безопасенЦвет: нетЗапах: нетКосметические свойстваОбладает широким спектром бактериальной активности- эффективен против бактерий, грибков и вирусов\; нейтрализует действие свободных радикалов, защищая клетки кожи от окисления\; способствует поглощению ультрафиолета.Синонимы: o-CYMEN-5-OL, 3-METHYL-4- (1-METHYLETHYL) - PHENOL\; 3-METHYL-4- (1-METHYLETHYL) PHENOL\; 4-ISOPROPYL-M-CRESOL\; ISOPROPYL METHYLPHENOL\; PHENOL, 3-METHYL-4- (1-METHYLETHYL) -\; 3-METHYL-4- (1-METHYLETHYL) PHENOL\; 3-METHYL-4-ISOPROPYLPHENOL\; BIOSAL  (ANTIBACTERIAL) \; BIOSOL\; FRECIDE\; P-THYMOL
БРОМЕЛАИН;BROMELAIN;BROMELAIN;Низкий;Синтетический;;Хорошо растворим в воде, является смесью ферментов содержащихся в ананасовом соке.Цвет: от светлого до светло- коричневогоЗапах: - характерныйКосметические свойстваЭтот компонент обладает ярко выраженным противоотечным и антивоспалительным действием, работает путем активизации макрофагов, кроме того активно восстанавливает поврежденную кожу, оказывает успокаивающее действие.Синонимы: BROMELAIN, JUICE\; BROMELAIN, STEM\; BROMELIN ANANASE\; FRUIT BROMELAIN\; JUICE BROMELAIN
ГИДРОКСИАПАТИТ;HYDROXYAPATITE;HYDROXYAPATITE;Низкий;Синтетический;;Максимальный SPF ФАКТОР - 50,  зависит от концентрации компонента в креме. При минимальной концентрации SPF ФАКТОР = 3Эмульгируется в косметическом средствеЦвет: белыйЗапах: -Косметические свойстваЯвляется инновационным эффективным компонентом в солнцезащитной косметике, не оставляющим следов на теле после нанесения.
ГЛИЦИРРИЗИН КОРНЕЙ ЛАКРИЧНИКА;GLYCYRRHIZIN LICORICE ROOTS;DIPOTASSIUM GLYCYRRHIZINATE;Низкий;Натуральный;;Является производной глицирризиновой кислоты\; высокостабилен\; обладает хорошей эмульгирующей способностью\; растворим в воде и этанолеЦвет: -Запах: -Косметические свойстваЭффективен в борьбе с перхотью, быстро снимает раздражение, чаще всего применяется в средствах для чувствительной, склонной к раздражению кожи и в косметике после пилингов и загара.
АНТАРКТИЦИН;ANTARCTICINE;PSEUDOALTEROMONAS FERMENT EXTRACT;Низкий;Натуральный;;Является гликопротеином, экстрагируется из культуры микроорганизмов PSEUDOALTEROMONASЦвет: от бесцветного до белогоЗапах: нетКосметические свойстваЭтот компонент славится своим действием на сухую и поврежденную кожу - он восстанавливает, регенерирует, заживляет, устраняет сухость, также способствует уменьшению возрастных изменений, влияет на процессы, связанные с синтезом коллагена. Особенно рекомендуется к применению для чувствительной кожи. Эффективен в защитных средствах в холодное время года.
БИОФЕНС;BIOFENSE;LACTOBACILLUS FERMENT;Низкий;Натуральный;;PH от 3.5 до 5.5Цвет: от желто- коричневого до коричневогоЗапах: характерныйКосметические свойстваСпособствует скорейшему восстановлению кожи после акне и других повреждений, успокаивает и снимает воспаление, повышает иммунитет кожи и ее сопротивляемость внешним негативным факторам, успешно применяется для лечения внешних проявлений заболеваний кожи.
ГЕМАТИТ ЭКСТРАКТ;HEMATITE EXTRACT;HEMATITE EXTRACT;Низкий;Синтетический;;Растворим в воде и спиртахЦвет: коричнево- красныйЗапах: характерный металлическийКосметические свойстваПрекрасно тонизирует кожу, даря ей сияние, действует общеукрепляюще, способствует стимуляции синтеза коллагена, заполняет морщинки, тем самым уменьшая их визуально, выравнивает тургор и разглаживает ее, дарит коже обновление, эффективен для зрелой кожи, оказывает действие на упругость кожи.
NATMULSE ®;NATMULSE;GLYCERYL STEARATE, CETEARYL ALCOHOL, SODIUM STEAROYL LACTYLATE;Низкий;Натуральный;;Белый порошок, без характерного запаха, Составной эмульгатор  на основе ациллактилата. Применяется  для эмульгирования жирной фазы в кремах тониках и таких продуктах как косметические молочко.
МЫЛЬНАЯ ОСНОВА CRYSTAL WST БЕЛАЯ;SOAP BASE CRYSTAL WST;SOAP BASE CRYSTAL WST;Низкий;Синтетический;;Белая (матовая) основа для создания мыла ручной работы. Легко плавится и хорошо держит форму, очищает кожу, обладает кондиционирующими свойствами, снимает статическое напряжение. Основа позволяет добавить в мыло не более 15% воды и не более 7% базовых масел, иначе лишняя влага и излишки жира будут появляться на поверхности в виде мелки пузырьковСостав Crystal WST:Вода 25% - 50%Глицерин 10% - 25%Натрий Стеарат 10% - 25%Сорбитол 10% - 25%Лаурат натрия 5% - 10%Пропилен Гликоль 5% - 10%Лаурет сульфат натрия 5% - 10%Лаурил сульфат натрия 1% - 5%Натрий хлорид 0,5% -1,0%Стеариновая кислота 0,5% - 1,0%Лауриновая кислота 0,5% - 1,0%Диоксид титана 0,1% - 0,5%Пентанатрия пентенат < 0,1%Тетранатрия этидронат < 0,1%
МЫЛЬНАЯ ОСНОВА КРЕМООБРАЗНАЯ Crystal OPC;SOAP BASE CRYSTAL OPC;SOAP BASE CRYSTAL OPC;Низкий;Синтетический;;Crystal OPC это мягкая основа для создания мыльных скрабов для кожи лица и тела или крем-мыла. С основой можно работать и горячим и холодным способом. Первый подходит для изготовления небольшого количества скраба непосредственно перед применением: основу необходимо взбить мини-миксером до размягчения\; добавить в нее краситель, отдушку (эфирное масло) и абразивные частички\; тщательно перемешать до получения однородной консистенции\; переложить скраб в чистую баночку.Горячий способ: разогреть основу до 60 градусов в огнеупорной емкости с крышкой\; добавить базовое масло (не более 2%)\; постоянно перемешивая охладить основу до 52 градусов\; добавить краситель, отдушку и абразивные частицы\; перемешать и остудить\; переложить скраб в чистую баночкуСостав Crystal OPC:Вода 25-50%Глицерин 25-50%Кокоил изетионат натрия 10-25%Сорбитол 10-25%Динатрия лаурил сульфосукцинат 5-10%Хлорид натрия 1-5%Феноксиэтанол 0,5-1%Тетранатрия ЕДТА 0,05%
КОНЦЕНТРИРОВАННАЯ ОСНОВА ДЛЯ МОЮЩИХ СРЕДСТВ Liquid Crystal Concentrate;SOAP BASE LCC;SOAP BASE LCC;Низкий;Синтетический;Основа Liquid Crystal Concentrate (LCC) позволяет создавать гели для душа, шампуни, пену для ванн. С основой легко работать, а расходуется она очень экономичноСостав Liquid Crystal Concentrate:Вода 25%-50%Лаурет сульфат натрия 25%-50%Пропилен гликоль 1-5%Хлорид натрия 1-5%Кокамин оксид 1-5%Кокоамидопропил бетаин 1-5%Лимонная кислота 0,1-1,0%Тетранатрия етидронат 0,1-1,0%Поликватерниум-7 0,1-1,0%Нитрат магния <0,1%Хлорид магния <0,1%Метилхлороизотиазолинон* <0,1%Метилизотиозолинон* <0,1%*всего 9 ppm активного изотиозолинона;Не используется в чистом виде
ОСНОВА ДЛЯ ШАМПУНЯ;SHAMPOO BASE;SHAMPOO BASE;Низкий;Синтетический;;Основа для шампуня не содержит SLS, на 70% состоит из органических компонентов. С основой для шампуня легко работать, она подходит для всех типов волос и даже для чувствительной кожи головыСостав SHAMPOO BASE:ВодаДециловый гликозидЛаурил бетаинКсантановая смолаАлоэ Вера (порошок)*ФеноксиэтанолЛимонная кислотаБензойная кислота
ОСНОВА ДЛЯ КОНДИЦИОНЕРА;HAIR CONDITIONER BASE;HAIR CONDITIONER BASE;Низкий;Синтетический;;Основа для кондиционера это практически готовый продукт для ухода за волосами - на 70% состоит из органических компонентов, отлично увлажняет и смягчает волосы, придает им блеск, облегчает расчесывание и укладкуСостав Hair Conditioner Base: ВодаЦетеариловый спиртБетаинКоко-гликозидМасло ШиОливковое маслоПодсолнечное маслоКокосовое маслоМасло жожобаАлоэ-вера (порошок)Ксантановая смолаФеноксиэтанолЛимонная кислотаМолочная кислотаБензойная кислотаДегидроуксусная кислота
ГИДРОКСИМЕТИЛЦЕЛЛЮЛОЗА;HYDROXYMETHYLCELLULOSE;HYDROXYMETHYLCELLULOSE;Низкий;Синтетический;;Растворим в воде\; не является биологически активным\; совместим с большей частью компонентов\; экологически безопасен\; гипоаллергенен.Цвет: от белого до желто- белогоЗапах: нет
ГИДРОКСИПРОПИЛ МЕТИЛЦЕЛЛЮЛОЗА;HYDROXYPROPYL METHYLCELLULOSE;HYDROXYPROPYL METHYLCELLULOSE;Низкий;Синтетический;;Образует стабильную гелевую субстанциюЦвет: белыйЗапах: нетКосметические свойстваЭтот ингредиент отличается отличными очищающими характеристиками, адсорбирует на себя жир.Синонимы:  2-HYDROXYPROPYL METHYL ETHER CELLULOSE\; CARBOHYDRATE GUM\; CELLULOSE, 2-HYDROXYPROPYL METHYL ETHER\; CELLULOSE, 2HYDROXYPROPYL METHYL ETHER\; HYDROXYPROPYL METHYCELLULOSE\; HYDROXYPROPYL METHYLCELLULOSE 2208\; HYDROXYPROPYL METHYLCELLULOSE 2906\; HYDROXYPROPYL METHYLCELLULOSE 2910\; HYPROMELLOSE\; METHYL HYDROXYPROPYL CELLULOSE\; GONIOSOL
ГИДРОКСИПРОПИЛЦЕЛЛЮЛОЗА;HYDROXYPROPYLCELLULOSE;HYDROXYPROPYLCELLULOSE;Низкий;Синтетический;;Растворим в большинстве органических растворителей и в воде\; стабиленЗапах: нетКосметические свойстваВыраженных косметических свойств нет, используется как структурообразователь в парфюмерии. Является полиэлектролитом с PH близким к 4.Синонимы: 2-HYDROXYPROPYL ETHER CELLULOSE\; CELLULOSE, 2-HYDROXYPROPYL ETHER\; CELLULOSE, 2HYDROXYPROPYL ETHER\; CELLULOSE HYDROXYPROPYL ETHER\; HYDROXYPROPYL ETHER OF CELLULOSE\; KLUCEL\; OXYPROPYLATED CELLULOSE\; PM 50\; PM 50  (POLYMER)
ГИДРОКСИЦИТРОНЕЛЛАЛЬ;HYDROXYCITRONELLAL;HYDROXYCITRONELLAL;Средний;Синтетический;;Растворим в этанолеЦвет: нетЗапах: аромат свежей зелени с цветочными ноткамиКосметические свойстваНаиболее часто используется в парфюмерии и для ароматизации косметикиСинонимы: 1,7OCTANEDIOL, 3,7DIMETHYL\; 3,7-DIMETHYLOCTANE-1,7-DIOL\;7-HYDROXY-3,7-DIMETHYL- OCTANOL\; 7-HYDROXY-3,7-DIMETHYLOCTANOL\;7-HYDROXYCITRONELLAL\; OCTANAL, 7HYDROXY3,7DIMETHYL\; OCTANOL,7-HYDROXY-3,7-DIMETHYL-\; 3,7-DIMETHYL-7-HYDROXYOCTANAL\;7-HYDROXY-3,7-DIMETHYLOCTAN-1-AL\; 7-HYDROXYCITRONELLAL\; CITRONELLAL HYDRATE
ГИДРОЛИЗАТ ДРОЖЖЕЙ;HYDROLYZED YEAST;HYDROLYZED YEAST;Низкий;Синтетический;;Рекомендуется добавлять в готовую эмульсиюКосметические свойстваБлагодаря высокому содержанию в своем составе ферментов и витаминов, питает кожу. Особенно эффективен данный компонент в уходе за волосами, в средствах от перхоти, в средствах по уходу за жирной кожей.Синонимы: YEAST HYDROLYSATE
ГИДРОЛИЗАТ ЗЕЛЕНОГО ГОРОШКА;HYDROLYZED GREEN PEA;HYDROLYZED GREEN PEA;Низкий;Натуральный;Получают путем ферментативного гидролиза протеинов из зеленого горошка. Обычно применяется в виде водных растворов.Косметическое действие:Содержит большое количество аминокислот, образует на поверхности кожи тончайшую защитную кожу, предупреждает потерю влаги и оказывает увлажняющее действие. Обладает легким омолаживающим и подтягивающим действием. Придает волосам блеск и эластичность, улучшает их структуру.;Возможна индивидуальная непереносимость
ГИДРОЛИЗАТ МОЛОКА;HYDROLYZED MILK PROTEIN;HYDROLYZED MILK PROTEIN;Низкий;Синтетический;;Получают путем ферментативного гидролиза молочных протеинов. В составе содержится большое количество сахаридов, аминокислот, не синтезирующихся в организме.  Косметическое действие:Оказывает выраженное смягчающее и увлажняющее действие, поэтому активно используется в средствах после ванны и душа. также используется для восстановления поврежденных волос и придания им силы и блеска. Оказывает защитный и успокаивающий эффект.Синонимы:HYDROLYSATES PROTEINS, MILK\; MILK HYDROLYSATES PROTEINS\; PROTEINS, MILK, HYDROLYSATES
ГИДРОЛИЗАТ МОЛОЧНОЙ СЫВОРОТКИ;HYDROLYZED MILK SERUM;HYDROLYZED MILK SERUM;Низкий;Натуральный;;Хорошо растворимый в воде компонент в виде белой вязкой массы. Содержит ценные аминокислоты: аспарагиновую, глутаминовую, лизин и лейцин.  Хорошо растворяется в воде. Косметическое действие:В косметических средствах применяется для смягчения, питания и увлажнения кожи. Также повышает эластичность и тонус кожи любого типа. оказывает выраженный успокаивающий и противовоспалительный эффект.
ГИДРОЛИЗАТ ПЛАНКТОНА;HYDROLYZED PLACTONE;HYDROLYZED PLACTONE;Низкий;Натуральный;;Производится из пресноводного или морского планктона путем ферментативного или химического гидролиза. В составе содержатся биологически активные вещества - пептиды, аминокислоты. Производится в виде порошка без запаха.Косметическое действие:В косметических средствах применяется для увлажнения кожи. Хорошо удерживает влагу в коже, предотвращает ее обезвоживание. Также способствует регенерации кожи и оказывает противомикробный эффект. Часто используется в увлажняющих средствах. и в антивозрастных линиях.
ГИДРОЛИЗАТ РЫБНОЙ МУКИ;HYDROLYZED FISH MEAL;HYDROLYZED FISH MEAL;Низкий;Натуральный;;Порошок без запаха, получаемый из отходов рыбного производства. Содержит большое количество аминокислот и нуклеопротеинов.Косметическое действие:В косметических средствах применяется для увлажнения кожи. Хорошо удерживает влагу в коже, предотвращает ее обезвоживание. Также способствует регенерации кожи и оказывает противомикробный эффект. Используется для ухода за увядающей и обезвоженной кожей.
ГИДРОЛИЗАТ СОИ;HYDROLYZED SOY;HYDROLYZED SOY;Низкий;Натуральный;;Производится путем ферментативного гидролиза протеинов сои. Компонент богат витаминами, белками и аминокислотами, а также незаменимыми жирными кислотами, фитостеринами и токоферолами.Косметическое действие:Великолепно увлажняет кожу и удерживает в ней влагу, восстанавливает защитные слои кожи и оказывает регенерирующий эффект. Питает клетки кожи, волос и ногтей, омолаживает и уменьшает мелкие морщинки. Хорошо подходит для чувствительной и увядающей кожи
ГИДРОЛИЗАТ ФАСОЛИ;HYDROLYZED KIDNEY BEANS;HYDROLYZED KIDNEY BEANS;Низкий;Натуральный;;По способу получения и свойствам компонент схож с гидролизатом зеленого горошка. Получают из створок белой фасоли.Косметическое действие:Оказывает выраженное увлажняющее воздействие на кожу, удерживает влагу в глубоких слоях за счет создания защитной пленки, регенерирует клетки, укрепляет стенки сосудов, прекрасно питает и смягчает. Уменьшает морщинки и считается отличным компонентом для лифтинговых средств. Уменьшает дряблость и повышает эластичность.
ГИДРОЛИЗАТ ЭЛАСТИНА;HYDROLYZED ELASTINE;HYDROLYZED ELASTINE;Низкий;Натуральный;;Эластин получают из соединительных тканей животных. Его гидролизат хорошо растворяется в воде, поэтому часто этот компонент называют растворимым эластином. Хорошо впитывается и усваивается.Косметическое действие:Отлично восстанавливает эластичность и упругость кожи, обладает влагоудерживающей способностью. Помогает укорить выработку собственного коллагена и эластина. Выравнивает кожу,делает ее поверхность более гладкой и стимулирует микроциркуляцию.
ПШЕНИЦЫ КЛЕЙКОВИНЫ ГИДРОЛИЗАТ;WHEAT GLUTEN HYDROLYSATE;HYDROLYZED WHEAT GLUTEN;Низкий;Натуральный;;Термостабилен\; растворим в воде\; универсаленКосметические свойстваДанный гидролизат обладает высокой увлажняющей способностью, способствует восстановлению микрорельефа кожи и избавлению от дряблости, смягчает огрубевшую кожу и несет легкий лифтинг - эффект, восстанавливает водный баланс верхнего слоя кожи- эпидермиса, также эффективен в средствах для волос- увлажняет волос по всей длине, способствует укреплению волосяного покрова, возвращает блеск и эластичность, уплотняет тело волоса, что визуально увеличивает их объем.
МОЛОКА ГИДРОЛИЗАТ;MILK HYDROLYSATE;MILK HYDROLYSATE;Низкий;Натуральный;;Термостабилен\; растворим в воде\; универсаленКосметические свойстваНаиболее эффективен данный компонент в средствах, обеспечивающих интенсивное увлажнение кожи и восстанавливающих сыворотках для волос., обеспечивает хорошее смягчение кожи, также молоко известно свойствами, способствующими торможению процесса старения кожи, благодаря образованию на коже невидимой защитной пленки, противостоит негативному воздействию окружающей среды на кожу.
ДАМАСЦЕНОН;DAMASCENONE;DAMASCENONE;Низкий;Натуральный;;Растворим в спирте и органических растворителях\; относится к классу цветочных.Цвет: желтая жидкостьЗапах: цветочныйКосметические свойстваДамасценон является химическим соединением эфирных масел, главной составляющей розового аромата, входит в базовую и среднюю ноты композиций.
ГИДРОЛИЗАТ КОЛЛАГЕНА;HYDROLYZED COLLAGEN;HYDROLYZED COLLAGEN;Низкий;Синтетический;Компонент получают путем переработки хрящей, костной ткани, сухожилий и кожи крупного рогатого скота. Содержит аминокислоты (лизин, глицин, метионин, валин, лейцин и т.д.). обладает термической стабильностью\; растворим в воде\; PH 5,5\; универсаленКосметическое действие:Улучшает общее состояние кожи: разглаживает и выравнивает ее, делает упругой и эластичной, убирает мелкие морщинки и освежает. Обладает ранозаживляющим и успокаивающим действием, удерживает влагу в глубоких слоях кожи. Оказывает регенерирующий эффект.Как и большинство гидролизатов, является отличным увлажнителем, способствует регенерации и восстановлению поврежденных клеток кожи, обеспечивает ее всеми необходимыми питательными веществами, эффективен в омоложении кожи и борьбе с возрастными изменениями, заживляет кожу и восстанавливает ее структуру в кратчайшие сроки, способствует очищению кожу от ороговевших клеток и немного подтягивает.Синонимы: COLLAGEN HYDROLYSATE\; COLLAGEN HYDROLYSATE PROTEINS\; COLLAGENS, HYDROLYZATES\; HYDROLYSATE PROTEINS, COLLAGEN\; HYDROLYZED ANIMAL PROTEIN\; HYDROLYZED ANIMAL PROTEIN POWDER\; HYDROLYZED ANIMAL PROTEIN SOLUTION\; PROTEINS, COLLAGEN, HYDROLYSATE\; COLATRON\; COLLAGENS, HYDROLYZATES\; CROTEIN SPO;Возможна индивидуальная непереносимость
ГИДРОЛИЗИРОВАННЫЙ ГЛЮКОЗАМИНОГЛЮКАН;HYDROLYZED GLYCOSAMINOGLYCAN;HYDROLYZED GLYCOSAMINOGLYCAN;Низкий;Синтетический;;Олигосахарид, синтезируемый из растений или искусственным путем в лабораториях. Обладает прекрасной проникающей способностью.Косметическое действие:Отлично увлажняет и питает кожу, удерживает влагу в клетках. Обычно используется в компонентах для стареющей и сухой кожи. Иногда применяют в средствах для активации роста ресниц и их укрепления. Также встречается в кондиционерах для волос.Синонимы:HYDROLYZED MUCOPOLYSACCHARIDES\; MUCOPOLYSACCHARIDE HYDROLYSATE
ГЛИНА АРМЯНСКАЯ;ARMENIAN BOLE;ARMENIAN BOLE;Низкий;Натуральный;;Вид мягкой красной глины, содержащей оксид железа, кремнекислый глинозем. Съедобна, ранее использовалась в кулинарии для подкрашивания еды.Косметическое действие:Используется как красящий пигмент в пудрах. Абсолютно безвредна. Синонимы:болюс
ГЛИЦЕРИЛ МОНООЛЕАТ (ЭСТЕР А);GLYCERYL MONOOLEATE;GLYCERYL OLEATE;Низкий;Синтетический;;Эмульгатор в виде порошка (от белого до коричневого цвета) позволят создавать продукты с блестящей глянцевой консистенцией. Хорошо связывает жиры с водой, предотвращает окислительные процессы при хранении. Может использоваться в эмульсиях с широким диапазоном рН. Легко растворяется в жирной фазе.Синонимы:Эстер А 2,3-DIHYDROXYPROPYL ESTER 9-OCTADECENOIC AC ID\; 2,3-DIHYDROXYPROPYL OLEATE\; 9-OCTADECENOIC AC ID, 2,3-DIHYDROXYPROPYL ESTER\; 9-OCTADECENOIC ACID (9Z) -, 2,3-DIHYDROXYPROPYL ESTER\; 9-OCTADECENOIC ACID, MONOESTER WITH 1,2,3-PROPANETRIOL\; 9OCTADECENOIC ACID (Z) , 2,3DIHYDROXYPROPYL ESTER\; GLYCERIN 1-MONOOLEATE\; GLYCERIN MONOOLEATE\; GLYCERIN OLEATE\; GLYCERINE MONOOLEATE\; GLYCEROL 1-MONOOLEATE
ГОМОСАЛАТ;HOMOSALATE SALICYLATE;3,3,5-TRIMETHYLCYCLOHEXYL SALICYLATE;Средний;Синтетический;Поглотитель ультрафиолетовых лучей, эмолент, компонент в парфюмерииМолекулярная формула:Внешний вид: прозрачная жидкость светло-желтого цветаРастворимость: в маслах и других липидахРежим ввода: в Жирную Фазу, выдерживает длительный нагрев, Синонимы:3,3,5-TRIMETHYL- SALICYLATE CYCLOHEXANOL\; 3,3,5-TRIMETHYLCYCLOHEXYL 2-HYDROXYBENZOATE\; 3,3,5-TRIMETHYLCYCLOHEXYL SALICYLATE\; CASWELL NO. 482B\; CCRIS 4885\; COPPERTONE\; CYCLOHEXANOL, 3,3,5-TRIMETHYL-, SALICYLATE\; EINECS 204-260-8\; EPA PESTICIDE CHEMICAL CODE 076603\; FILTERSOL ''''A''''\; HELIOPAN;Влияет на эндокринную систему\; есть сообщения об отравлениях при впитывании через кожу
ГРЯЗЬ ТЕРМАЛЬНАЯ;THERMAL MUD;THERMAL MUD;Низкий;Натуральный;;Как правило, такая грязь вулканического происхожденияЦвет: характерныйЗапах: характерныйКосметические свойстваИмеет в своем составе множество различных минералов, поэтому обеспечивает замечательное питание кожи, она используется в восстановительных процедурах из- за ее свойства удерживать влагу в коже, также она несет согревающий эффект, способствует улучшению микроциркуляции крови и выведению солей из организма, что помогает избавлению от жировых отложений и целлюлита. Очищение кожи и пор, хорошая регенерирующая способность- это тоже особенности действия, оказываемые термальной грязью на кожу и тело. Кроме того, такого рода грязь обладает анти- акне- и противовоспалительным действием, успокаивает чувствительную и раздраженную кожу.
ГРАФИТОВЫЙ ПИГМЕНТ;GRAPHITE PIGMENT;GRAPHITE PIGMENT;Низкий;Натуральный;Пигмент черного цвета с сероватым оттенком и характерным жирным металлическим блеском. Содержит 70...94 % углерода. Обладает высокойустойчивостью к действию различных химических реагентов. Применяют в декоративной косметике;Возможна индивидуальная непереносимость
ГЛУТАРАЛЬ (ГЛУТАРОВЫЙ АЛЬДЕГИД);GLUTARAL;GLUTARAL;Средний;Синтетический;;Цвет: желтая жидкостьЗапах: характерныйСинонимы: 1,5-PENTANEDIAL\; GLUTARIC DIALDEHYDE\; PENTANEDIAL\; 1,3-DIFORMYLPROPANE\; 1,5-PENTANEDIAL\; 1,5-PENTANEDIONE\; ALDEHYD GLUTAROWY  (POLISH) \; CIDEX\; GLUTARALDEHYD  (CZECH) \; GLUTARALDEHYDE  (ACGIH) \; GLUTARDIALDEHYDEКосметические свойстваИспользуется в косметике из- за своих антимикробных и консервирующих характеристик. В косметологии применяется в качестве консерванта.
SENSOLENE;SENSOLENE;ETHYLHEXYL OLIVATE;Низкий;Натуральный;;Производится из оливок\; растворим в масле\; гипоаллергенен\; натурален\; 100% совместимость с кожей\; стабилен.Цвет: бесцветная жидкостьЗапах: -Синонимы: 2-ETHYLHEXYL OLIVATEКосметические свойстваЯвляется эмолентом, способствующим поддержанию необходимого уровня увлажненности кожи и помогает сохранить коже эластичность, укрепляет естественные барьерные функции кожи. Популярен в качестве достойной замены сквалану и сквалену. Часто применяется он и по причине сильнейшего смягчающего действия на кожу и обеспечивает непревзойденные тактильные ощущения от косметических средств с его использованием.
ИЗОПРОПИЛМИРИСТАТ;ISOPROPYL MYRISTATE;ISOPROPYL MYRISTATE;Низкий;Синтетический;Косметические свойствав косметике используется для того, чтобы снизить жирность жирной фазы в кремах. Он оказывается на кожу поверхностное действие, обладает хорошим смягчающим действием, славится своей способностью закреплять и удерживать ароматы, не оставляет на коже неприятной жирной пленки, создает хорошее скольжение, способствует равномерному рассредоточению цветовых пигментов в косметике. Являться комедогемном.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
DODECANE;DODECANE;DODECANE;Низкий;Синтетический;;Биологически разлагаем\; не нагревать выше 80 градусовКосметические свойстваВ косметике используется как альтернатива циклопентасилоксану. Обладает сертификатом ECOCERT
